fold,mae,rmse,mape,r2,performance
0,13.938654899597168,16.337219917680972,0.12074393033981323,-2.109783411026001,Poor ✗
1,3.3670990467071533,3.4898885716791614,0.03056023083627224,-0.007492959499359131,Poor ✗
2,2.4759464263916016,5.602538977389097,0.018736032769083977,0.7102863192558289,Excellent ✓
3,1.3919793367385864,1.8315254603143756,0.009360387921333313,0.9399418234825134,Excellent ✓
